id,name,city,state,Latitude,Longitude,C_D,Street number,Street,City,State,Country,Zip,Full_Address,,,,,,,,c_d
551,Silverton Brewery,Silverton, CO,37.811941,-107.6645057,Silverton  CO,,,Silverton,Colorado,United States,81433,"Silverton, San Juan County, Colorado, United States, 81433",,,,,,,,SilvertonCO
480,Telluride Brewing Company,Telluride, CO,37.9374939,-107.8122852,Telluride  CO,,,Telluride,Colorado,United States,81435,"Telluride, San Miguel County, Colorado, United States, 81435",,,,,,,,TellurideCO
168,High Hops Brewery,Windsor, CO,40.4774818,-104.9013617,Windsor  CO,,,Windsor,Colorado,United States,,"Windsor, Weld County, Colorado, United States",,,,,,,,WindsorCO
108,Thomas Hooker Brewing Company,Bloomfield, CT,41.826488,-72.7300945,Bloomfield  CT,,,Bloomfield,Connecticut,United States,,"Bloomfield, Simsbury, Hartford County, Connecticut, United States",,,,,,,,BloomfieldCT
235,Back East Brewing Company,Bloomfield, CT,41.826488,-72.7300945,Bloomfield  CT,,,Bloomfield,Connecticut,United States,,"Bloomfield, Simsbury, Hartford County, Connecticut, United States",,,,,,,,BloomfieldCT
89,Broad Brook Brewing LLC,East Windsor, CT,41.9161361,-72.5578799,East Windsor  CT,,,East Windsor,Connecticut,United States,,"East Windsor, Hartford County, Connecticut, United States",,,,,,,,EastWindsorCT
512,Cottrell Brewing,Pawcatuck, CT,41.3773218,-71.8336802,Pawcatuck  CT,,,Stonington,Connecticut,United States,6379,"Pawcatuck, Stonington, Stonington, New London County, Connecticut, United States, 06379",,,,,,,,PawcatuckCT
248,Half Full Brewery,Stamford, CT,41.0534302,-73.5387341,Stamford  CT,,,Stamford,Connecticut,United States,,"Stamford, Fairfield County, Connecticut, United States",,,,,,,,StamfordCT
435,Two Roads Brewing Company,Stratford, CT,41.1845415,-73.1331651,Stratford  CT,,,Stratford,Connecticut,United States,,"Stratford, Fairfield County, Connecticut, United States",,,,,,,,StratfordCT
130,Shebeen Brewing Company,Wolcott, CT,41.6023196,-72.9867718,Wolcott  CT,,,Wolcott,Connecticut,United States,6716,"Wolcott, New Haven County, Connecticut, United States, 06716",,,,,,,,WolcottCT
410,New England Brewing Company,Woodbridge, CT,41.352597,-73.0084385,Woodbridge  CT,,,Woodbridge,Connecticut,United States,6525,"Woodbridge, New Haven County, Connecticut, United States, 06525",,,,,,,,WoodbridgeCT
